N,impl,run_index,time_s,gflops
500,python,0,9.802915e+00,2.550262e-02
500,numpy,0,1.589778e-03,1.572547e+02
500,scipy,0,2.617116e-02,9.552499e+00
500,cupy_fp32,0,2.041110e-04,1.224824e+03
500,cupy_fp64,0,5.139762e-03,4.864038e+01
500,c,0,3.185455e-01,7.848172e-01
500,python,1,9.765341e+00,2.560074e-02
500,numpy,1,2.708265e-03,9.231002e+01
500,scipy,1,1.853673e-02,1.348674e+01
500,cupy_fp32,1,2.011890e-04,1.242613e+03
500,cupy_fp64,1,2.943201e-03,8.494153e+01
500,c,1,2.964519e-01,8.433073e-01
500,python,2,9.659419e+00,2.588147e-02
500,numpy,2,1.592197e-03,1.570157e+02
500,scipy,2,1.474530e-02,1.695455e+01
500,cupy_fp32,2,1.992680e-04,1.254592e+03
500,cupy_fp64,2,4.205218e-03,5.944995e+01
500,c,2,3.314515e-01,7.542582e-01
500,python,3,9.739910e+00,2.566759e-02
500,numpy,3,1.936307e-03,1.291118e+02
500,scipy,3,1.868691e-02,1.337835e+01
500,cupy_fp32,3,2.022690e-04,1.235978e+03
500,cupy_fp64,3,5.144241e-03,4.859803e+01
500,c,3,3.229731e-01,7.740583e-01
500,python,4,9.838179e+00,2.541121e-02
500,numpy,4,1.520461e-03,1.644238e+02
500,scipy,4,1.776404e-02,1.407338e+01
500,cupy_fp32,4,4.184505e-03,5.974422e+01
500,cupy_fp64,4,2.948634e-03,8.478502e+01
500,c,4,3.292193e-01,7.593723e-01
500,python,5,9.740642e+00,2.566566e-02
500,numpy,5,1.972992e-03,1.267111e+02
500,scipy,5,1.466648e-02,1.704567e+01
500,cupy_fp32,5,2.092910e-04,1.194509e+03
500,cupy_fp64,5,2.937913e-03,8.509442e+01
500,c,5,2.933984e-01,8.520836e-01
500,python,6,9.787076e+00,2.554389e-02
500,numpy,6,1.523314e-03,1.641159e+02
500,scipy,6,5.923693e-03,4.220340e+01
500,cupy_fp32,6,1.990670e-04,1.255859e+03
500,cupy_fp64,6,6.170599e-03,4.051471e+01
500,c,6,3.314446e-01,7.542739e-01
500,python,7,9.634619e+00,2.594809e-02
500,numpy,7,1.606161e-03,1.556506e+02
500,scipy,7,1.545992e-02,1.617084e+01
500,cupy_fp32,7,1.903590e-04,1.313308e+03
500,cupy_fp64,7,2.940498e-03,8.501961e+01
500,c,7,3.008722e-01,8.309177e-01
500,python,8,9.701568e+00,2.576903e-02
500,numpy,8,1.566013e-03,1.596411e+02
500,scipy,8,4.327907e-03,5.776464e+01
500,cupy_fp32,8,1.988540e-04,1.257204e+03
500,cupy_fp64,8,2.944564e-03,8.490221e+01
500,c,8,2.962364e-01,8.439206e-01
500,python,9,9.705991e+00,2.575729e-02
500,numpy,9,1.499011e-03,1.667766e+02
500,scipy,9,9.607941e-03,2.602014e+01
500,cupy_fp32,9,1.909780e-04,1.309051e+03
500,cupy_fp64,9,2.965476e-03,8.430350e+01
500,c,9,3.516455e-01,7.109432e-01
500,python,10,9.724764e+00,2.570756e-02
500,numpy,10,1.602766e-03,1.559803e+02
500,scipy,10,1.513166e-02,1.652165e+01
500,cupy_fp32,10,1.974280e-04,1.266284e+03
500,cupy_fp64,10,2.939531e-03,8.504758e+01
500,c,10,2.948869e-01,8.477828e-01
500,python,11,9.681735e+00,2.582182e-02
500,numpy,11,2.299073e-03,1.087395e+02
500,scipy,11,3.320907e-02,7.528064e+00
500,cupy_fp32,11,1.963510e-04,1.273230e+03
500,cupy_fp64,11,2.940312e-03,8.502499e+01
500,c,11,3.008248e-01,8.310484e-01
500,python,12,9.588743e+00,2.607224e-02
500,numpy,12,1.561763e-03,1.600755e+02
500,scipy,12,1.069699e-02,2.337107e+01
500,cupy_fp32,12,2.018510e-04,1.238537e+03
500,cupy_fp64,12,2.950532e-03,8.473048e+01
500,c,12,2.933973e-01,8.520870e-01
500,python,13,9.781699e+00,2.555793e-02
500,numpy,13,2.224348e-03,1.123925e+02
500,scipy,13,3.023525e-02,8.268493e+00
500,cupy_fp32,13,1.977480e-04,1.264235e+03
500,cupy_fp64,13,2.958853e-03,8.449220e+01
500,c,13,3.181820e-01,7.857139e-01
500,python,14,9.732320e+00,2.568761e-02
500,numpy,14,1.575053e-03,1.587248e+02
500,scipy,14,2.841801e-02,8.797238e+00
500,cupy_fp32,14,1.989170e-04,1.256806e+03
500,cupy_fp64,14,5.144170e-03,4.859870e+01
500,c,14,3.175783e-01,7.872074e-01
500,python,15,9.624785e+00,2.597461e-02
500,numpy,15,1.799409e-03,1.389345e+02
500,scipy,15,8.757332e-03,2.854751e+01
500,cupy_fp32,15,2.029290e-04,1.231958e+03
500,cupy_fp64,15,2.940990e-03,8.500539e+01
500,c,15,2.976943e-01,8.397876e-01
500,python,16,9.824069e+00,2.544770e-02
500,numpy,16,1.564636e-03,1.597816e+02
500,scipy,16,3.463278e-02,7.218595e+00
500,cupy_fp32,16,2.036050e-04,1.227868e+03
500,cupy_fp64,16,2.943514e-03,8.493250e+01
500,c,16,2.915080e-01,8.576094e-01
500,python,17,9.757756e+00,2.562064e-02
500,numpy,17,1.600240e-03,1.562266e+02
500,scipy,17,8.581054e-03,2.913395e+01
500,cupy_fp32,17,2.455420e-04,1.018156e+03
500,cupy_fp64,17,4.710042e-03,5.307808e+01
500,c,17,3.258154e-01,7.673057e-01
500,python,18,9.444551e+00,2.647029e-02
500,numpy,18,1.515414e-03,1.649714e+02
500,scipy,18,3.430384e-02,7.287815e+00
500,cupy_fp32,18,2.105060e-04,1.187615e+03
500,cupy_fp64,18,5.079601e-03,4.921646e+01
500,c,18,3.118951e-01,8.015516e-01
500,python,19,9.146276e+00,2.733353e-02
500,numpy,19,1.529541e-03,1.634477e+02
500,scipy,19,2.254039e-02,1.109120e+01
500,cupy_fp32,19,1.996460e-04,1.252216e+03
500,cupy_fp64,19,9.187593e-03,2.721061e+01
500,c,19,3.207552e-01,7.794105e-01
500,python,20,9.006760e+00,2.775693e-02
500,numpy,20,2.683275e-03,9.316973e+01
500,scipy,20,2.559484e-02,9.767593e+00
500,cupy_fp32,20,1.969900e-04,1.269100e+03
500,cupy_fp64,20,5.446995e-03,4.589687e+01
500,c,20,3.233335e-01,7.731955e-01
500,python,21,8.662667e+00,2.885947e-02
500,numpy,21,1.459139e-03,1.713339e+02
500,scipy,21,7.490796e-03,3.337429e+01
500,cupy_fp32,21,1.907820e-04,1.310396e+03
500,cupy_fp64,21,2.939814e-03,8.503939e+01
500,c,21,2.968974e-01,8.420418e-01
500,python,22,8.550401e+00,2.923840e-02
500,numpy,22,1.936690e-03,1.290862e+02
500,scipy,22,8.326760e-03,3.002368e+01
500,cupy_fp32,22,2.027480e-04,1.233058e+03
500,cupy_fp64,22,8.162553e-03,3.062767e+01
500,c,22,3.335056e-01,7.496126e-01
500,python,23,9.021493e+00,2.771160e-02
500,numpy,23,2.545384e-03,9.821701e+01
500,scipy,23,1.769861e-02,1.412540e+01
500,cupy_fp32,23,1.966000e-04,1.271617e+03
500,cupy_fp64,23,5.871698e-03,4.257712e+01
500,c,23,3.235649e-01,7.726425e-01
500,python,24,9.102999e+00,2.746348e-02
500,numpy,24,5.259230e-03,4.753548e+01
500,scipy,24,3.209971e-02,7.788233e+00
500,cupy_fp32,24,2.030680e-04,1.231115e+03
500,cupy_fp64,24,1.012924e-02,2.468102e+01
500,c,24,3.167118e-01,7.893612e-01
500,python,25,8.811400e+00,2.837233e-02
500,numpy,25,1.569849e-03,1.592510e+02
500,scipy,25,2.112128e-02,1.183640e+01
500,cupy_fp32,25,2.000920e-04,1.249425e+03
500,cupy_fp64,25,6.145174e-03,4.068233e+01
500,c,25,3.193007e-01,7.829610e-01
500,python,26,8.811928e+00,2.837064e-02
500,numpy,26,1.610124e-03,1.552675e+02
500,scipy,26,2.405369e-02,1.039341e+01
500,cupy_fp32,26,2.038010e-04,1.226687e+03
500,cupy_fp64,26,6.153623e-03,4.062647e+01
500,c,26,3.231800e-01,7.735628e-01
500,python,27,9.070376e+00,2.756225e-02
500,numpy,27,1.849950e-03,1.351388e+02
500,scipy,27,3.553905e-02,7.034515e+00
500,cupy_fp32,27,2.036200e-04,1.227777e+03
500,cupy_fp64,27,1.016674e-02,2.459000e+01
500,c,27,3.162274e-01,7.905702e-01
500,python,28,9.140963e+00,2.734942e-02
500,numpy,28,2.560426e-03,9.764000e+01
500,scipy,28,3.618266e-02,6.909388e+00
500,cupy_fp32,28,1.992860e-04,1.254478e+03
500,cupy_fp64,28,2.944692e-03,8.489852e+01
500,c,28,2.915980e-01,8.573448e-01
500,python,29,8.985946e+00,2.782122e-02
500,numpy,29,2.604673e-03,9.598134e+01
500,scipy,29,1.164734e-02,2.146413e+01
500,cupy_fp32,29,2.385380e-04,1.048051e+03
500,cupy_fp64,29,2.942882e-03,8.495074e+01
500,c,29,2.954280e-01,8.462298e-01
600,python,0,1.453343e+01,2.972456e-02
600,numpy,0,5.133454e-03,8.415387e+01
600,scipy,0,1.840758e-02,2.346859e+01
600,cupy_fp32,0,2.542750e-04,1.698948e+03
600,cupy_fp64,0,5.062287e-03,8.533692e+01
600,c,0,4.939298e-01,8.746183e-01
600,python,1,1.403185e+01,3.078709e-02
600,numpy,1,2.580661e-03,1.673990e+02
600,scipy,1,4.175586e-03,1.034585e+02
600,cupy_fp32,1,2.518250e-04,1.715477e+03
600,cupy_fp64,1,4.990684e-03,8.656128e+01
600,c,1,5.083889e-01,8.497431e-01
600,python,2,1.416797e+01,3.049131e-02
600,numpy,2,2.927816e-03,1.475503e+02
600,scipy,2,5.115442e-02,8.445018e+00
600,cupy_fp32,2,2.974300e-04,1.452443e+03
600,cupy_fp64,2,1.021568e-02,4.228792e+01
600,c,2,5.053536e-01,8.548470e-01
600,python,3,1.421034e+01,3.040039e-02
600,numpy,3,2.939359e-03,1.469708e+02
600,scipy,3,2.860693e-02,1.510123e+01
600,cupy_fp32,3,2.543280e-04,1.698594e+03
600,cupy_fp64,3,5.670616e-03,7.618220e+01
600,c,3,5.175517e-01,8.346992e-01
600,python,4,1.419415e+01,3.043507e-02
600,numpy,4,2.655419e-03,1.626862e+02
600,scipy,4,2.302657e-02,1.876093e+01
600,cupy_fp32,4,2.542600e-04,1.699048e+03
600,cupy_fp64,4,6.997403e-03,6.173719e+01
600,c,4,5.177175e-01,8.344319e-01
600,python,5,1.426269e+01,3.028881e-02
600,numpy,5,2.654939e-03,1.627156e+02
600,scipy,5,4.516884e-02,9.564115e+00
600,cupy_fp32,5,2.523440e-04,1.711949e+03
600,cupy_fp64,5,8.207209e-03,5.263665e+01
600,c,5,5.057370e-01,8.541989e-01
600,python,6,1.432735e+01,3.015212e-02
600,numpy,6,2.700069e-03,1.599959e+02
600,scipy,6,2.449955e-02,1.763298e+01
600,cupy_fp32,6,2.559930e-04,1.687546e+03
600,cupy_fp64,6,4.945525e-03,8.735170e+01
600,c,6,5.280953e-01,8.180342e-01
600,python,7,1.428795e+01,3.023526e-02
600,numpy,7,2.741554e-03,1.575749e+02
600,scipy,7,2.498101e-02,1.729314e+01
600,cupy_fp32,7,2.519990e-04,1.714293e+03
600,cupy_fp64,7,5.749777e-03,7.513335e+01
600,c,7,5.181127e-01,8.337954e-01
600,python,8,1.408116e+01,3.067930e-02
600,numpy,8,2.524915e-03,1.710949e+02
600,scipy,8,2.956982e-02,1.460949e+01
600,cupy_fp32,8,2.522260e-04,1.712750e+03
600,cupy_fp64,8,4.944660e-03,8.736698e+01
600,c,8,5.268466e-01,8.199731e-01
600,python,9,1.411703e+01,3.060133e-02
600,numpy,9,2.561621e-03,1.686432e+02
600,scipy,9,1.955475e-02,2.209182e+01
600,cupy_fp32,9,2.539610e-04,1.701049e+03
600,cupy_fp64,9,8.620594e-03,5.011256e+01
600,c,9,5.272371e-01,8.193657e-01
600,python,10,1.407450e+01,3.069380e-02
600,numpy,10,3.143426e-03,1.374297e+02
600,scipy,10,2.337514e-02,1.848117e+01
600,cupy_fp32,10,2.551870e-04,1.692876e+03
600,cupy_fp64,10,6.998479e-03,6.172770e+01
600,c,10,5.261366e-01,8.210796e-01
600,python,11,1.412186e+01,3.059088e-02
600,numpy,11,2.539682e-03,1.701000e+02
600,scipy,11,2.178969e-02,1.982589e+01
600,cupy_fp32,11,2.599690e-04,1.661737e+03
600,cupy_fp64,11,8.473805e-03,5.098064e+01
600,c,11,5.245647e-01,8.235400e-01
600,python,12,1.405874e+01,3.072822e-02
600,numpy,12,3.466759e-03,1.246121e+02
600,scipy,12,3.552961e-02,1.215887e+01
600,cupy_fp32,12,2.495400e-04,1.731185e+03
600,cupy_fp64,12,8.627153e-03,5.007446e+01
600,c,12,5.148603e-01,8.390626e-01
600,python,13,1.429497e+01,3.022042e-02
600,numpy,13,2.554646e-03,1.691037e+02
600,scipy,13,8.875775e-03,4.867181e+01
600,cupy_fp32,13,2.594770e-04,1.664887e+03
600,cupy_fp64,13,5.655791e-03,7.638189e+01
600,c,13,5.305444e-01,8.142580e-01
600,python,14,1.417819e+01,3.046934e-02
600,numpy,14,2.663191e-03,1.622114e+02
600,scipy,14,2.083301e-02,2.073633e+01
600,cupy_fp32,14,2.549970e-04,1.694138e+03
600,cupy_fp64,14,8.634587e-03,5.003134e+01
600,c,14,5.255442e-01,8.220051e-01
600,python,15,1.447476e+01,2.984506e-02
600,numpy,15,2.592530e-03,1.666326e+02
600,scipy,15,6.642265e-02,6.503806e+00
600,cupy_fp32,15,2.908700e-04,1.485200e+03
600,cupy_fp64,15,2.302137e-02,1.876518e+01
600,c,15,4.992876e-01,8.652329e-01
600,python,16,1.421081e+01,3.039938e-02
600,numpy,16,2.578173e-03,1.675605e+02
600,scipy,16,2.955197e-02,1.461831e+01
600,cupy_fp32,16,2.539540e-04,1.701095e+03
600,cupy_fp64,16,5.620308e-03,7.686411e+01
600,c,16,5.209133e-01,8.293127e-01
600,python,17,1.437488e+01,3.005243e-02
600,numpy,17,2.591846e-03,1.666766e+02
600,scipy,17,2.786999e-02,1.550054e+01
600,cupy_fp32,17,2.492950e-04,1.732887e+03
600,cupy_fp64,17,4.940443e-03,8.744155e+01
600,c,17,5.212191e-01,8.288260e-01
600,python,18,1.446398e+01,2.986730e-02
600,numpy,18,2.572566e-03,1.679257e+02
600,scipy,18,2.706225e-02,1.596319e+01
600,cupy_fp32,18,2.521860e-04,1.713021e+03
600,cupy_fp64,18,8.657518e-03,4.989883e+01
600,c,18,5.150249e-01,8.387945e-01
600,python,19,1.411529e+01,3.060511e-02
600,numpy,19,3.263615e-03,1.323686e+02
600,scipy,19,1.014299e-01,4.259097e+00
600,cupy_fp32,19,2.525190e-04,1.710762e+03
600,cupy_fp64,19,4.952230e-03,8.723343e+01
600,c,19,5.166921e-01,8.360879e-01
600,python,20,1.433740e+01,3.013099e-02
600,numpy,20,3.320540e-03,1.300993e+02
600,scipy,20,1.561518e-02,2.766538e+01
600,cupy_fp32,20,2.450650e-04,1.762798e+03
600,cupy_fp64,20,4.976235e-03,8.681262e+01
600,c,20,5.243991e-01,8.238001e-01
600,python,21,1.434220e+01,3.012090e-02
600,numpy,21,2.619134e-03,1.649400e+02
600,scipy,21,4.896518e-02,8.822596e+00
600,cupy_fp32,21,2.548810e-04,1.694909e+03
600,cupy_fp64,21,4.948464e-03,8.729982e+01
600,c,21,4.880527e-01,8.851503e-01
600,python,22,1.447221e+01,2.985031e-02
600,numpy,22,2.513486e-03,1.718728e+02
600,scipy,22,3.506900e-02,1.231857e+01
600,cupy_fp32,22,2.519640e-04,1.714531e+03
600,cupy_fp64,22,1.368137e-02,3.157579e+01
600,c,22,5.197248e-01,8.312091e-01
600,python,23,1.425296e+01,3.030949e-02
600,numpy,23,3.481635e-03,1.240796e+02
600,scipy,23,2.617753e-02,1.650270e+01
600,cupy_fp32,23,2.520950e-04,1.713640e+03
600,cupy_fp64,23,5.224402e-03,8.268889e+01
600,c,23,5.280638e-01,8.180830e-01
600,python,24,1.419293e+01,3.043769e-02
600,numpy,24,2.569940e-03,1.680973e+02
600,scipy,24,2.167954e-02,1.992663e+01
600,cupy_fp32,24,2.482020e-04,1.740518e+03
600,cupy_fp64,24,4.942049e-03,8.741314e+01
600,c,24,5.239605e-01,8.244897e-01
600,python,25,1.428797e+01,3.023523e-02
600,numpy,25,2.563991e-03,1.684873e+02
600,scipy,25,2.873694e-02,1.503292e+01
600,cupy_fp32,25,2.534920e-04,1.704196e+03
600,cupy_fp64,25,5.166154e-03,8.362120e+01
600,c,25,5.245741e-01,8.235252e-01
600,python,26,1.419379e+01,3.043585e-02
600,numpy,26,2.601801e-03,1.660388e+02
600,scipy,26,1.055746e-02,4.091893e+01
600,cupy_fp32,26,2.472480e-04,1.747234e+03
600,cupy_fp64,26,1.627556e-02,2.654287e+01
600,c,26,5.377629e-01,8.033281e-01
600,python,27,1.398073e+01,3.089968e-02
600,numpy,27,2.590256e-03,1.667789e+02
600,scipy,27,1.524609e-02,2.833513e+01
600,cupy_fp32,27,2.499120e-04,1.728608e+03
600,cupy_fp64,27,4.944321e-03,8.737297e+01
600,c,27,5.252691e-01,8.224355e-01
600,python,28,1.429229e+01,3.022608e-02
600,numpy,28,2.650822e-03,1.629683e+02
600,scipy,28,3.442804e-02,1.254791e+01
600,cupy_fp32,28,2.536850e-04,1.702899e+03
600,cupy_fp64,28,4.942862e-03,8.739876e+01
600,c,28,5.238009e-01,8.247409e-01
600,python,29,1.459128e+01,2.960673e-02
600,numpy,29,2.515202e-03,1.717556e+02
600,scipy,29,2.420947e-02,1.784426e+01
600,cupy_fp32,29,2.504930e-04,1.724599e+03
600,cupy_fp64,29,4.942595e-03,8.740348e+01
600,c,29,5.461338e-01,7.910150e-01
700,python,0,2.326020e+01,2.949244e-02
700,numpy,0,7.089994e-03,9.675608e+01
700,scipy,0,6.132832e-02,1.118570e+01
700,cupy_fp32,0,3.475430e-04,1.973856e+03
700,cupy_fp64,0,7.499886e-03,9.146806e+01
700,c,0,8.166497e-01,8.400175e-01
700,python,1,2.285678e+01,3.001298e-02
700,numpy,1,3.995938e-03,1.716743e+02
700,scipy,1,4.308882e-02,1.592060e+01
700,cupy_fp32,1,4.317772e-03,1.588782e+02
700,cupy_fp64,1,7.413339e-03,9.253590e+01
700,c,1,8.376632e-01,8.189449e-01
700,python,2,2.271985e+01,3.019386e-02
700,numpy,2,4.009886e-03,1.710772e+02
700,scipy,2,4.430717e-02,1.548282e+01
700,cupy_fp32,2,3.511420e-04,1.953626e+03
700,cupy_fp64,2,7.411744e-03,9.255581e+01
700,c,2,8.357415e-01,8.208280e-01
700,python,3,2.292252e+01,2.992690e-02
700,numpy,3,4.238610e-03,1.618455e+02
700,scipy,3,3.030678e-02,2.263520e+01
700,cupy_fp32,3,3.924910e-04,1.747811e+03
700,cupy_fp64,3,7.439643e-03,9.220873e+01
700,c,3,8.518963e-01,8.052623e-01
700,python,4,2.268889e+01,3.023506e-02
700,numpy,4,4.166729e-03,1.646375e+02
700,scipy,4,6.219958e-02,1.102901e+01
700,cupy_fp32,4,3.662900e-04,1.872833e+03
700,cupy_fp64,4,7.421494e-03,9.243422e+01
700,c,4,8.175056e-01,8.391380e-01
700,python,5,2.236792e+01,3.066892e-02
700,numpy,5,4.007319e-03,1.711868e+02
700,scipy,5,1.679568e-02,4.084384e+01
700,cupy_fp32,5,3.491720e-04,1.964648e+03
700,cupy_fp64,5,7.408777e-03,9.259288e+01
700,c,5,8.346085e-01,8.219422e-01
700,python,6,2.304385e+01,2.976933e-02
700,numpy,6,4.289289e-03,1.599333e+02
700,scipy,6,2.235884e-02,3.068138e+01
700,cupy_fp32,6,3.523520e-04,1.946917e+03
700,cupy_fp64,6,7.404212e-03,9.264997e+01
700,c,6,8.347768e-01,8.217766e-01
700,python,7,2.235286e+01,3.068958e-02
700,numpy,7,4.809326e-03,1.426395e+02
700,scipy,7,2.166656e-02,3.166169e+01
700,cupy_fp32,7,3.469240e-04,1.977378e+03
700,cupy_fp64,7,7.413420e-03,9.253489e+01
700,c,7,8.336675e-01,8.228701e-01
700,python,8,2.220779e+01,3.089007e-02
700,numpy,8,4.030330e-03,1.702094e+02
700,scipy,8,2.915461e-02,2.352972e+01
700,cupy_fp32,8,3.451600e-04,1.987484e+03
700,cupy_fp64,8,7.413271e-03,9.253675e+01
700,c,8,8.389906e-01,8.176492e-01
700,python,9,2.256024e+01,3.040748e-02
700,numpy,9,6.996584e-03,9.804785e+01
700,scipy,9,3.467798e-02,1.978200e+01
700,cupy_fp32,9,3.596290e-04,1.907521e+03
700,cupy_fp64,9,7.403953e-03,9.265321e+01
700,c,9,8.471821e-01,8.097433e-01
700,python,10,2.280936e+01,3.007538e-02
700,numpy,10,4.528409e-03,1.514881e+02
700,scipy,10,2.775895e-02,2.471275e+01
700,cupy_fp32,10,3.521010e-04,1.948305e+03
700,cupy_fp64,10,8.453077e-03,8.115388e+01
700,c,10,8.510102e-01,8.061008e-01
700,python,11,2.314496e+01,2.963928e-02
700,numpy,11,4.662041e-03,1.471459e+02
700,scipy,11,4.755441e-02,1.442558e+01
700,cupy_fp32,11,3.850380e-04,1.781642e+03
700,cupy_fp64,11,7.430692e-03,9.231980e+01
700,c,11,8.465727e-01,8.103261e-01
700,python,12,2.282426e+01,3.005573e-02
700,numpy,12,4.114131e-03,1.667424e+02
700,scipy,12,3.350914e-02,2.047202e+01
700,cupy_fp32,12,3.562430e-04,1.925652e+03
700,cupy_fp64,12,7.405883e-03,9.262906e+01
700,c,12,8.559479e-01,8.014506e-01
700,python,13,2.267259e+01,3.025679e-02
700,numpy,13,4.595257e-03,1.492844e+02
700,scipy,13,2.580013e-02,2.658901e+01
700,cupy_fp32,13,3.584780e-04,1.913646e+03
700,cupy_fp64,13,1.139927e-02,6.017931e+01
700,c,13,8.591556e-01,7.984583e-01
700,python,14,2.294616e+01,2.989607e-02
700,numpy,14,4.405032e-03,1.557310e+02
700,scipy,14,2.104010e-02,3.260441e+01
700,cupy_fp32,14,3.531340e-04,1.942605e+03
700,cupy_fp64,14,7.402817e-03,9.266743e+01
700,c,14,8.705796e-01,7.879808e-01
700,python,15,2.338928e+01,2.932968e-02
700,numpy,15,4.157143e-03,1.650172e+02
700,scipy,15,2.973918e-02,2.306721e+01
700,cupy_fp32,15,3.823560e-04,1.794139e+03
700,cupy_fp64,15,1.095318e-02,6.263022e+01
700,c,15,8.487706e-01,8.082278e-01
700,python,16,2.308900e+01,2.971112e-02
700,numpy,16,4.138287e-03,1.657691e+02
700,scipy,16,3.570182e-02,1.921471e+01
700,cupy_fp32,16,3.561990e-04,1.925890e+03
700,cupy_fp64,16,8.391901e-03,8.174548e+01
700,c,16,8.523547e-01,8.048293e-01
700,python,17,2.318054e+01,2.959379e-02
700,numpy,17,4.312869e-03,1.590589e+02
700,scipy,17,4.169624e-02,1.645232e+01
700,cupy_fp32,17,3.936630e-04,1.742607e+03
700,cupy_fp64,17,8.107585e-03,8.461213e+01
700,c,17,8.333331e-01,8.232002e-01
700,python,18,2.292818e+01,2.991952e-02
700,numpy,18,4.124438e-03,1.663257e+02
700,scipy,18,5.124056e-02,1.338783e+01
700,cupy_fp32,18,4.361503e-03,1.572852e+02
700,cupy_fp64,18,9.318314e-03,7.361847e+01
700,c,18,8.270210e-01,8.294832e-01
700,python,19,2.289191e+01,2.996692e-02
700,numpy,19,4.053202e-03,1.692489e+02
700,scipy,19,4.184183e-02,1.639508e+01
700,cupy_fp32,19,3.507260e-04,1.955943e+03
700,cupy_fp64,19,8.486802e-03,8.083139e+01
700,c,19,8.347438e-01,8.218091e-01
700,python,20,2.248389e+01,3.051073e-02
700,numpy,20,4.934876e-03,1.390106e+02
700,scipy,20,3.845047e-02,1.784113e+01
700,cupy_fp32,20,3.595240e-04,1.908078e+03
700,cupy_fp64,20,7.407419e-03,9.260986e+01
700,c,20,8.474985e-01,8.094410e-01
700,python,21,2.333236e+01,2.940123e-02
700,numpy,21,3.996209e-03,1.716627e+02
700,scipy,21,1.786659e-02,3.839570e+01
700,cupy_fp32,21,3.515240e-04,1.951503e+03
700,cupy_fp64,21,7.413267e-03,9.253680e+01
700,c,21,8.399044e-01,8.167596e-01
700,python,22,2.319112e+01,2.958029e-02
700,numpy,22,3.972208e-03,1.726999e+02
700,scipy,22,4.145145e-02,1.654948e+01
700,cupy_fp32,22,3.478330e-04,1.972211e+03
700,cupy_fp64,22,7.407557e-03,9.260813e+01
700,c,22,8.392699e-01,8.173772e-01
700,python,23,2.338264e+01,2.933800e-02
700,numpy,23,4.043002e-03,1.696759e+02
700,scipy,23,1.552843e-02,4.417705e+01
